id,produto,channel,free_user,user_plan,t,c
864,B,22,0,0,9,0
2721,B,11,0,0,9,0
473,B,77,0,0,0,1
1922,B,99,0,1,9,0
5378,A,44,1,1,9,0
555,B,22,1,0,0,1
5842,B,77,0,0,9,0
1348,B,22,0,0,9,0
504,B,99,0,1,0,1
2524,B,77,1,0,0,1
4357,B,22,0,0,9,0
1404,B,22,0,0,9,0
2911,B,33,1,1,16,0
1069,B,77,1,1,18,1
4092,A,44,1,1,29,0
1801,B,22,0,1,9,0
636,B,11,0,0,0,1
3993,A,44,1,1,0,1
2407,B,77,0,0,0,1
2333,A,44,1,1,10,1
4014,A,44,1,1,16,0
665,B,11,1,1,1,1
2769,B,22,1,0,1,1
707,B,33,1,1,0,1
5682,B,22,1,1,10,0
5840,B,77,1,0,8,0
429,B,77,1,0,0,1
3616,B,22,1,1,4,1
2129,B,33,1,1,0,1
4067,A,44,1,1,25,0
2493,B,77,1,0,7,1
3909,B,33,1,0,9,0
1349,B,22,0,1,9,0
1309,B,22,1,0,5,0
2067,B,22,1,0,2,1
205,B,33,1,0,1,1
5463,A,44,1,1,24,0
83,B,11,1,0,0,1
2301,A,44,1,1,0,1
3138,A,44,1,1,10,1
2842,B,33,1,0,1,1
876,A,44,1,1,0,1
1906,B,22,1,0,0,1
882,A,44,1,1,15,1
906,A,44,1,1,0,1
3808,B,33,1,1,0,1
606,B,22,1,0,1,1
816,A,44,1,1,1,1
3331,B,77,0,1,9,0
453,B,22,1,0,3,0
1909,B,22,0,1,1,1
4626,B,77,0,0,9,0
3337,B,77,1,0,12,0
3376,B,77,1,0,0,1
4779,B,88,0,0,9,0
1751,B,22,1,1,15,0
1677,B,22,0,1,9,0
2691,B,88,0,0,9,0
2538,B,77,0,0,9,0
1749,B,22,1,1,27,0
224,B,33,0,0,0,1
2714,B,11,0,0,9,0
2940,A,44,1,1,31,0
2944,B,33,1,1,0,1
840,B,22,1,1,4,0
1455,B,22,0,0,9,0
623,B,22,1,1,22,0
2846,B,33,0,1,9,0
2997,A,44,1,1,29,0
607,B,22,1,0,0,1
1363,B,33,1,1,0,1
3204,B,77,1,0,10,0
3608,B,11,1,0,1,0
1695,B,77,1,0,3,1
3563,B,88,0,0,9,0
3801,B,33,0,1,0,1
2758,B,22,1,0,0,1
2023,B,11,0,0,9,0
657,B,22,1,1,15,0
3777,B,11,1,0,31,0
1086,B,22,0,0,9,0
2512,B,77,1,0,30,0
799,B,22,1,1,5,0
4983,B,11,0,0,9,0
3497,B,22,1,0,0,1
3887,B,33,1,0,0,1
3135,A,44,1,1,0,1
2978,B,33,1,1,0,1
1640,A,44,1,1,8,1
4113,A,44,1,1,9,0
1365,B,33,1,1,0,1
5633,B,22,1,1,8,0
3491,B,88,0,0,9,0
5875,B,77,0,0,9,0
3275,B,77,1,0,1,1
5016,B,11,0,1,9,0
